index,0
Shahrbanoo Amani,"Shahrbanoo Amani Anganeh (Persian: شهربانو امانی انگنه; born 1960) was a member of the Islamic Consultative Assembly for its fifth and sixth term from electoral district of Urmia from the Iranian reform movement. She was the senior adviser of Masoumeh Ebtekar, head of Environmental Protection Organization of Iran."
Klaus Schwab,"Klaus Martin Schwab (German pronunciation: [klaʊs ˈmaʁtiːn ʃvaːp]; born 30 March 1938) is a German engineer and economist. In 1971 he founded what would become the World Economic Forum, where he currently serves as executive chairman."
Robin Mills,"Leslie Robin Medforth-Mills (8 December 1942 – 2 February 2002) was a British professor of Geography at the University of Durham and a United Nations official.


== Family ==
Medforth-Mills was son of Cyril Mills (Skirlaugh, East Riding of Yorkshire, March 1908 - ?), a labourer, and wife (Preston, East Riding of Yorkshire, 6 June 1931) Nora Medforth (Skirlaugh, East Riding of Yorkshire, December 1909 - ?;He married Princess Elena of Romania (born 1950) at a civil ceremony on 20 July 1983 in Durham, England, which was followed by a religious ceremony on 24 September 1983 in Lausanne, Switzerland."
John Fetterman,"John Karl Fetterman (born August 15, 1969) is an American politician serving as the 34th Lieutenant Governor of Pennsylvania since 2019. A member of the Democratic Party, he previously served as Mayor of Braddock from 2005 to 2019."
Joe Sestak,"Joseph Ambrose Sestak Jr. (born December 12, 1951) is an American politician and retired U.S. Navy officer."
Mike Lee,"Michael Shumway Lee (born June 4, 1971) is an American lawyer and politician serving as the senior United States senator from Utah. A Republican, Lee has been in the Senate since 2011."
Kenji Fujimoto,"Kenji Fujimoto (藤本 健二, Fujimoto Kenji, born 1947) is the pen name of a Japanese chef who was the personal sushi chef of former North Korean leader Kim Jong-il from 1988 to 2001. Fujimoto published a memoir in 2003 entitled I was Kim Jong-il's Cook, detailing many of his experiences with Kim Jong-il."
Katie McGinty,"Kathleen Alana McGinty (born May 11, 1963) is a retired American politician and former state and federal environmental policy official. She served as an environmental advisor to Vice President Al Gore and President Bill Clinton."
Kim II Sung,"Kim Il-sung (; Korean: 김일성, Korean pronunciation: [kimils͈ʌŋ]; born Kim Song-ju (김성주); 15 April 1912 – 8 July 1994) was a North Korean politician and the founder of North Korea, which he ruled from the country's establishment in 1948 until his death in 1994. He held the posts of Premier from 1948 to 1972 and President from 1972 to 1994."
Volodymyr Yelchenko,"Volodymyr Yelchenko (Ukrainian: Володимир Єльченко; born June 27, 1959 in Kyiv, in the Ukrainian SSR of the Soviet Union) is a Ukrainian diplomat. His latest post was the Ambassador of Ukraine to the United States."
Gerard van Bohemen,"Gerard van Bohemen is a New Zealand Judge and a former Permanent Representative of New Zealand to the United Nations (UN) in New York.
Van Bohemen received degrees in English and law from Victoria University of Wellington."
PBS,"The Public Broadcasting Service (PBS) is an American public broadcaster and television program distributor based in Arlington, Virginia. PBS is a publicly funded nonprofit organization and the most prominent provider of educational programming to public television stations in the United States, distributing series such as American Experience, America's Test Kitchen, Antiques Roadshow, Arthur, Barney & Friends, Between the Lions, Cyberchase, Clifford the Big Red Dog, Downton Abbey, Wild Kratts, Finding Your Roots, Frontline, The Magic School Bus, The Kidsongs Television Show, Masterpiece Theater, Mister Rogers' Neighborhood, Nature, Nature Cat, Nova, PBS NewsHour, Peg + Cat, Reading Rainbow, Sesame Street, Teletubbies, Keeping Up Appearances, and This Old House.PBS is funded by a combination of member station dues, the Corporation for Public Broadcasting, pledge drives, and donations from both private foundations and individual citizens."
Steven Palazzo,"Steven McCarty Palazzo  (born February 21, 1970) is an American politician who has served as the U.S. representative for Mississippi's 4th congressional district since 2011. The district includes Mississippi's Gulf Coast, Biloxi, Gulfport, Pascagoula, Laurel and Hattiesburg."
National Iranian American Council,"The National Iranian American Council (NIAC; Persian: شورای ملی ایرانیان آمریکا) is a nonprofit, civil society, and lobbying NGO based in Washington, D.C. Trita Parsi was one of the founders and is the organization's former president. Jamal Abdi, formerly NIAC's Vice President for Policy and Executive Director for NIAC Action, took over as president on August 1, 2018."
Robert Stethem,"Robert Dean Stethem (November 17, 1961 – June 15, 1985) was a United States Navy Seabee diver who was murdered by Hezbollah terrorists during the hijacking of the commercial airliner he was aboard, TWA Flight 847. At the time of his death, his Navy rating was Steelworker Second Class (SW2)."
Sander Levin,"Sander Martin Levin (born September 6, 1931) is an American politician who served in the United States House of Representatives from 1983 to 2019, representing Michigan's 9th congressional district (numbered as the 17th District from 1983 to 1993 and as the 12th District from 1993 to 2013). Levin, a member of the Democratic Party from Michigan, is a former ranking member on the House Ways and Means Committee; he was Chairman of the Ways and Means Committee from 2010 to 2011."
Scott Perry,"Scott Gordon Perry (born May 27, 1962) is an American politician. He is the U.S. representative for Pennsylvania's 10th congressional district."
Michael Bennet,"Michael Farrand Bennet (born November 28, 1964) is an American businessman, lawyer, and politician serving as the senior United States senator from Colorado, a seat he has held since 2009. A member of the Democratic Party, he was appointed to the seat when Senator Ken Salazar became Secretary of the Interior."
George Pataki,"George Elmer Pataki (; born June 24, 1945) is an American lawyer and politician who served as the 53rd governor of New York from 1995 to 2006. An attorney by profession, Pataki was elected mayor of his hometown of Peekskill, New York, and went on to be elected to the State Assembly and the State Senate."
BMI Research,"BMI Research is a research firm that provides macroeconomic, industry and financial market analysis, covering 24 industries and 200 global markets. It was founded in 1984 as Business Monitor International."
Jamie Lennon,"Jamie Lennon (born 9 May 1998) is an Irish professional footballer playing for League of Ireland Premier Division club, St Patrick's Athletic, the club where he started his professional career.


== Club career ==


=== Youth career ===
Lennon spent seven years in the youth setup of Shelbourne but was let go ahead of his first year at under 19 level."
Barbara A. Mikulski,"Barbara Ann Mikulski ( mih-CULL-skee; born July 20, 1936) is an American politician and social worker who served as a United States Senator from Maryland from 1987 to 2017. A member of the Democratic Party, she also served in the United States House of Representatives from 1977 to 1987."
Philip Gordon,"Philip H. Gordon (born 1962) is an American diplomat and foreign policy professional. Since January 20, 2021, he has served as Special Assistant to the President and Deputy National Security Advisor to the Vice President of the United States, Kamala Harris."
Martin McBride,"Kevin Martin McBride (born 10 May 1973) is an Irish former professional boxer who is best known for defeating  Mike Tyson in 2005, in what would be the latter's final professional fight. As an amateur, McBride competed for Ireland at the 1992 Summer Olympics."
Sergei Chemezov,"Sergey Viktorovich Chemezov (Russian: Сергей Викторович Чемезов; born 20 August 1952) is the CEO of Rostec Corporation, a state-owned defense conglomorate. A former KGB agent and high-ranking general, Chemezov befriended Vladimir Putin when both were stationed in East Germany in the 1980s."
